call_id,question_id,condition,framework,feedback_mode,order_variant,kind,status,model_score,max_score,normalized_signed_diff,normalized_absolute_diff,input_tokens,total_tokens,latency_ms,attempt_count,failure_code,failure_summary,teacher_score,teacher_feedback,source_split,selection_kind,answer_id
133918,4.13,amem_full,amem,full,order_1,score,succeeded,0.75,1.0,-0.25,0.25,8145,8177,15665,1,,,1.0,Correct,unseen_answers,test,4.13.192
133988,4.13,amem_full,amem,full,order_2,score,succeeded,0.6,1.0,-0.4,0.4,8290,8333,16796,1,,,1.0,Correct,unseen_answers,test,4.13.192
134058,4.13,amem_full,amem,full,order_3,score,succeeded,0.5,1.0,-0.5,0.5,8466,8515,14823,1,,,1.0,Correct,unseen_answers,test,4.13.192
133912,4.13,amem_full,amem,full,order_1,score,succeeded,0.0,1.0,0.0,0.0,8330,8362,20779,1,,,0.0,The question is not about the network topology but about the routing strategy!,unseen_answers,test,4.13.202
133982,4.13,amem_full,amem,full,order_2,score,succeeded,0.2,1.0,0.2,0.2,8611,8648,17492,1,,,0.0,The question is not about the network topology but about the routing strategy!,unseen_answers,test,4.13.202
134052,4.13,amem_full,amem,full,order_3,score,succeeded,0.2,1.0,0.2,0.2,8675,8717,14311,1,,,0.0,The question is not about the network topology but about the routing strategy!,unseen_answers,test,4.13.202
133914,4.13,amem_full,amem,full,order_1,score,succeeded,0.75,1.0,0.0,0.0,8257,8294,15011,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.210
133984,4.13,amem_full,amem,full,order_2,score,succeeded,0.75,1.0,0.0,0.0,8525,8564,14503,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.210
134054,4.13,amem_full,amem,full,order_3,score,succeeded,0.75,1.0,0.0,0.0,8649,8683,14433,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.210
133919,4.13,amem_full,amem,full,order_1,score,succeeded,0.5,1.0,0.0,0.0,8178,8223,16406,1,,,0.5,But this is not a problem specific for the routing strategy,unseen_answers,test,4.13.233
133989,4.13,amem_full,amem,full,order_2,score,succeeded,0.25,1.0,-0.25,0.25,8410,8452,14286,1,,,0.5,But this is not a problem specific for the routing strategy,unseen_answers,test,4.13.233
134059,4.13,amem_full,amem,full,order_3,score,succeeded,0.5,1.0,0.0,0.0,8463,8529,18101,1,,,0.5,But this is not a problem specific for the routing strategy,unseen_answers,test,4.13.233
133913,4.13,amem_full,amem,full,order_1,score,succeeded,0.75,1.0,0.0,0.0,8365,8407,15459,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.361
133983,4.13,amem_full,amem,full,order_2,score,succeeded,0.75,1.0,0.0,0.0,8586,8623,18013,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.361
134053,4.13,amem_full,amem,full,order_3,score,succeeded,0.75,1.0,0.0,0.0,8772,8809,14259,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.361
133920,4.13,amem_full,amem,full,order_1,score,succeeded,0.75,1.0,-0.25,0.25,8161,8195,19142,1,,,1.0,Correct,unseen_answers,test,4.13.82
133990,4.13,amem_full,amem,full,order_2,score,succeeded,0.75,1.0,-0.25,0.25,8469,8501,14497,1,,,1.0,Correct,unseen_answers,test,4.13.82
134060,4.13,amem_full,amem,full,order_3,score,succeeded,0.75,1.0,-0.25,0.25,8527,8561,14113,1,,,1.0,Correct,unseen_answers,test,4.13.82
133946,4.13,amem_no_feedback,amem,no_feedback,order_1,score,succeeded,1.0,1.0,0.0,0.0,7921,7958,16787,1,,,1.0,Correct,unseen_answers,test,4.13.128
134016,4.13,amem_no_feedback,amem,no_feedback,order_2,score,succeeded,1.0,1.0,0.0,0.0,8253,8284,12205,1,,,1.0,Correct,unseen_answers,test,4.13.128
134086,4.13,amem_no_feedback,amem,no_feedback,order_3,score,succeeded,1.0,1.0,0.0,0.0,7687,7719,11233,1,,,1.0,Correct,unseen_answers,test,4.13.128
133947,4.13,amem_no_feedback,amem,no_feedback,order_1,score,succeeded,0.75,1.0,0.0,0.0,8142,8176,14031,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.140
134017,4.13,amem_no_feedback,amem,no_feedback,order_2,score,succeeded,0.75,1.0,0.0,0.0,8168,8207,11038,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.140
134087,4.13,amem_no_feedback,amem,no_feedback,order_3,score,succeeded,0.75,1.0,0.0,0.0,7786,7822,11638,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.140
133941,4.13,amem_no_feedback,amem,no_feedback,order_1,score,succeeded,0.75,1.0,-0.25,0.25,7981,8016,12954,1,,,1.0,Correct,unseen_answers,test,4.13.160
134011,4.13,amem_no_feedback,amem,no_feedback,order_2,score,succeeded,0.5,1.0,-0.5,0.5,8292,8336,16444,1,,,1.0,Correct,unseen_answers,test,4.13.160
134081,4.13,amem_no_feedback,amem,no_feedback,order_3,score,succeeded,0.5,1.0,-0.5,0.5,7880,7920,13527,1,,,1.0,Correct,unseen_answers,test,4.13.160
133945,4.13,amem_no_feedback,amem,no_feedback,order_1,score,succeeded,0.5,1.0,-0.5,0.5,8111,8155,11680,1,,,1.0,Correct,unseen_answers,test,4.13.186
134015,4.13,amem_no_feedback,amem,no_feedback,order_2,score,succeeded,0.5,1.0,-0.5,0.5,8301,8341,14110,1,,,1.0,Correct,unseen_answers,test,4.13.186
134085,4.13,amem_no_feedback,amem,no_feedback,order_3,score,succeeded,0.75,1.0,-0.25,0.25,7826,7870,13183,1,,,1.0,Correct,unseen_answers,test,4.13.186
133948,4.13,amem_no_feedback,amem,no_feedback,order_1,score,succeeded,0.75,1.0,-0.25,0.25,7972,8016,13463,1,,,1.0,Correct,unseen_answers,test,4.13.192
134018,4.13,amem_no_feedback,amem,no_feedback,order_2,score,succeeded,0.75,1.0,-0.25,0.25,8165,8201,14365,1,,,1.0,Correct,unseen_answers,test,4.13.192
134088,4.13,amem_no_feedback,amem,no_feedback,order_3,score,succeeded,0.75,1.0,-0.25,0.25,7713,7754,13343,1,,,1.0,Correct,unseen_answers,test,4.13.192
133942,4.13,amem_no_feedback,amem,no_feedback,order_1,score,succeeded,0.2,1.0,0.2,0.2,8192,8238,15438,1,,,0.0,The question is not about the network topology but about the routing strategy!,unseen_answers,test,4.13.202
134012,4.13,amem_no_feedback,amem,no_feedback,order_2,score,succeeded,0.0,1.0,0.0,0.0,8410,8452,11074,1,,,0.0,The question is not about the network topology but about the routing strategy!,unseen_answers,test,4.13.202
134082,4.13,amem_no_feedback,amem,no_feedback,order_3,score,succeeded,0.25,1.0,0.25,0.25,7766,7803,11946,1,,,0.0,The question is not about the network topology but about the routing strategy!,unseen_answers,test,4.13.202
133944,4.13,amem_no_feedback,amem,no_feedback,order_1,score,succeeded,0.75,1.0,0.0,0.0,8211,8247,11077,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.210
134014,4.13,amem_no_feedback,amem,no_feedback,order_2,score,succeeded,0.75,1.0,0.0,0.0,8362,8397,11398,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.210
134084,4.13,amem_no_feedback,amem,no_feedback,order_3,score,succeeded,0.75,1.0,0.0,0.0,7829,7864,11382,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.210
133949,4.13,amem_no_feedback,amem,no_feedback,order_1,score,succeeded,0.5,1.0,0.0,0.0,7968,8006,12920,1,,,0.5,But this is not a problem specific for the routing strategy,unseen_answers,test,4.13.233
134019,4.13,amem_no_feedback,amem,no_feedback,order_2,score,succeeded,0.5,1.0,0.0,0.0,8192,8230,14530,1,,,0.5,But this is not a problem specific for the routing strategy,unseen_answers,test,4.13.233
134089,4.13,amem_no_feedback,amem,no_feedback,order_3,score,succeeded,0.5,1.0,0.0,0.0,7762,7800,12285,1,,,0.5,But this is not a problem specific for the routing strategy,unseen_answers,test,4.13.233
133943,4.13,amem_no_feedback,amem,no_feedback,order_1,score,succeeded,0.75,1.0,0.0,0.0,8400,8440,12273,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.361
134013,4.13,amem_no_feedback,amem,no_feedback,order_2,score,succeeded,0.75,1.0,0.0,0.0,8343,8374,13427,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.361
134083,4.13,amem_no_feedback,amem,no_feedback,order_3,score,succeeded,0.75,1.0,0.0,0.0,7845,7880,11895,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.361
133950,4.13,amem_no_feedback,amem,no_feedback,order_1,score,succeeded,0.75,1.0,-0.25,0.25,8138,8173,11200,1,,,1.0,Correct,unseen_answers,test,4.13.82
134020,4.13,amem_no_feedback,amem,no_feedback,order_2,score,succeeded,0.75,1.0,-0.25,0.25,7999,8032,14078,1,,,1.0,Correct,unseen_answers,test,4.13.82
134090,4.13,amem_no_feedback,amem,no_feedback,order_3,score,succeeded,0.75,1.0,-0.25,0.25,7739,7773,14074,1,,,1.0,Correct,unseen_answers,test,4.13.82
133906,4.13,mem0_full,mem0,full,order_1,score,succeeded,0.8,1.0,-0.19999999999999996,0.19999999999999996,748,790,22947,1,,,1.0,Correct,unseen_answers,test,4.13.128
133976,4.13,mem0_full,mem0,full,order_2,score,succeeded,0.85,1.0,-0.15000000000000002,0.15000000000000002,510,562,12368,1,,,1.0,Correct,unseen_answers,test,4.13.128
134046,4.13,mem0_full,mem0,full,order_3,score,succeeded,0.75,1.0,-0.25,0.25,518,563,14086,1,,,1.0,Correct,unseen_answers,test,4.13.128
133907,4.13,mem0_full,mem0,full,order_1,score,succeeded,0.5,1.0,-0.25,0.25,768,802,12458,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.140
133977,4.13,mem0_full,mem0,full,order_2,score,succeeded,0.7,1.0,-0.050000000000000044,0.050000000000000044,527,565,13082,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.140
134047,4.13,mem0_full,mem0,full,order_3,score,succeeded,0.75,1.0,0.0,0.0,538,573,12949,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.140
133901,4.13,mem0_full,mem0,full,order_1,score,succeeded,0.25,1.0,-0.75,0.75,722,761,13777,1,,,1.0,Correct,unseen_answers,test,4.13.160
133971,4.13,mem0_full,mem0,full,order_2,score,succeeded,0.5,1.0,-0.5,0.5,484,528,13742,1,,,1.0,Correct,unseen_answers,test,4.13.160
134041,4.13,mem0_full,mem0,full,order_3,score,succeeded,0.3,1.0,-0.7,0.7,492,535,13393,1,,,1.0,Correct,unseen_answers,test,4.13.160
133905,4.13,mem0_full,mem0,full,order_1,score,succeeded,0.3,1.0,-0.7,0.7,766,813,11811,1,,,1.0,Correct,unseen_answers,test,4.13.186
133975,4.13,mem0_full,mem0,full,order_2,score,succeeded,0.3,1.0,-0.7,0.7,528,565,11141,1,,,1.0,Correct,unseen_answers,test,4.13.186
134045,4.13,mem0_full,mem0,full,order_3,score,succeeded,0.25,1.0,-0.75,0.75,536,580,14759,1,,,1.0,Correct,unseen_answers,test,4.13.186
133908,4.13,mem0_full,mem0,full,order_1,score,succeeded,0.45,1.0,-0.55,0.55,743,782,12949,1,,,1.0,Correct,unseen_answers,test,4.13.192
133978,4.13,mem0_full,mem0,full,order_2,score,succeeded,0.5,1.0,-0.5,0.5,505,567,15679,1,,,1.0,Correct,unseen_answers,test,4.13.192
134048,4.13,mem0_full,mem0,full,order_3,score,succeeded,0.5,1.0,-0.5,0.5,513,563,14259,1,,,1.0,Correct,unseen_answers,test,4.13.192
133902,4.13,mem0_full,mem0,full,order_1,score,succeeded,0.2,1.0,0.2,0.2,785,833,13382,1,,,0.0,The question is not about the network topology but about the routing strategy!,unseen_answers,test,4.13.202
133972,4.13,mem0_full,mem0,full,order_2,score,succeeded,0.1,1.0,0.1,0.1,547,589,12031,1,,,0.0,The question is not about the network topology but about the routing strategy!,unseen_answers,test,4.13.202
134042,4.13,mem0_full,mem0,full,order_3,score,succeeded,0.1,1.0,0.1,0.1,555,590,12900,1,,,0.0,The question is not about the network topology but about the routing strategy!,unseen_answers,test,4.13.202
133904,4.13,mem0_full,mem0,full,order_1,score,succeeded,0.6,1.0,-0.15000000000000002,0.15000000000000002,762,801,12431,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.210
133974,4.13,mem0_full,mem0,full,order_2,score,succeeded,0.7,1.0,-0.050000000000000044,0.050000000000000044,524,575,12330,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.210
134044,4.13,mem0_full,mem0,full,order_3,score,succeeded,0.7,1.0,-0.050000000000000044,0.050000000000000044,535,568,14465,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.210
133909,4.13,mem0_full,mem0,full,order_1,score,succeeded,0.2,1.0,-0.3,0.3,724,770,16055,1,,,0.5,But this is not a problem specific for the routing strategy,unseen_answers,test,4.13.233
133979,4.13,mem0_full,mem0,full,order_2,score,succeeded,0.1,1.0,-0.4,0.4,486,522,12880,1,,,0.5,But this is not a problem specific for the routing strategy,unseen_answers,test,4.13.233
134049,4.13,mem0_full,mem0,full,order_3,score,succeeded,0.0,1.0,-0.5,0.5,494,529,15965,1,,,0.5,But this is not a problem specific for the routing strategy,unseen_answers,test,4.13.233
133903,4.13,mem0_full,mem0,full,order_1,score,succeeded,0.8,1.0,0.050000000000000044,0.050000000000000044,772,806,13550,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.361
133973,4.13,mem0_full,mem0,full,order_2,score,succeeded,0.8,1.0,0.050000000000000044,0.050000000000000044,534,574,13714,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.361
134043,4.13,mem0_full,mem0,full,order_3,score,succeeded,0.8,1.0,0.050000000000000044,0.050000000000000044,542,578,12662,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.361
133910,4.13,mem0_full,mem0,full,order_1,score,succeeded,0.6,1.0,-0.4,0.4,739,771,12156,1,,,1.0,Correct,unseen_answers,test,4.13.82
133980,4.13,mem0_full,mem0,full,order_2,score,succeeded,0.6,1.0,-0.4,0.4,504,539,11902,1,,,1.0,Correct,unseen_answers,test,4.13.82
134050,4.13,mem0_full,mem0,full,order_3,score,succeeded,0.6,1.0,-0.4,0.4,509,541,10866,1,,,1.0,Correct,unseen_answers,test,4.13.82
133936,4.13,mem0_no_feedback,mem0,no_feedback,order_1,score,succeeded,0.85,1.0,-0.15000000000000002,0.15000000000000002,524,575,9679,1,,,1.0,Correct,unseen_answers,test,4.13.128
134006,4.13,mem0_no_feedback,mem0,no_feedback,order_2,score,succeeded,0.85,1.0,-0.15000000000000002,0.15000000000000002,508,550,9575,1,,,1.0,Correct,unseen_answers,test,4.13.128
134076,4.13,mem0_no_feedback,mem0,no_feedback,order_3,score,succeeded,0.85,1.0,-0.15000000000000002,0.15000000000000002,517,565,11270,1,,,1.0,Correct,unseen_answers,test,4.13.128
133937,4.13,mem0_no_feedback,mem0,no_feedback,order_1,score,succeeded,0.75,1.0,0.0,0.0,544,602,9646,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.140
134007,4.13,mem0_no_feedback,mem0,no_feedback,order_2,score,succeeded,0.7,1.0,-0.050000000000000044,0.050000000000000044,528,565,12218,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.140
134077,4.13,mem0_no_feedback,mem0,no_feedback,order_3,score,succeeded,0.7,1.0,-0.050000000000000044,0.050000000000000044,537,572,10987,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.140
133931,4.13,mem0_no_feedback,mem0,no_feedback,order_1,score,succeeded,0.2,1.0,-0.8,0.8,498,541,9893,1,,,1.0,Correct,unseen_answers,test,4.13.160
134001,4.13,mem0_no_feedback,mem0,no_feedback,order_2,score,succeeded,0.5,1.0,-0.5,0.5,482,527,9413,1,,,1.0,Correct,unseen_answers,test,4.13.160
134071,4.13,mem0_no_feedback,mem0,no_feedback,order_3,score,succeeded,0.25,1.0,-0.75,0.75,488,532,13342,1,,,1.0,Correct,unseen_answers,test,4.13.160
133935,4.13,mem0_no_feedback,mem0,no_feedback,order_1,score,succeeded,0.2,1.0,-0.8,0.8,542,582,10734,1,,,1.0,Correct,unseen_answers,test,4.13.186
134005,4.13,mem0_no_feedback,mem0,no_feedback,order_2,score,succeeded,0.3,1.0,-0.7,0.7,526,568,9611,1,,,1.0,Correct,unseen_answers,test,4.13.186
134075,4.13,mem0_no_feedback,mem0,no_feedback,order_3,score,succeeded,0.25,1.0,-0.75,0.75,535,574,17641,1,,,1.0,Correct,unseen_answers,test,4.13.186
133938,4.13,mem0_no_feedback,mem0,no_feedback,order_1,score,succeeded,0.6,1.0,-0.4,0.4,519,580,14771,1,,,1.0,Correct,unseen_answers,test,4.13.192
134008,4.13,mem0_no_feedback,mem0,no_feedback,order_2,score,succeeded,0.6,1.0,-0.4,0.4,503,556,13489,1,,,1.0,Correct,unseen_answers,test,4.13.192
134078,4.13,mem0_no_feedback,mem0,no_feedback,order_3,score,succeeded,0.7,1.0,-0.30000000000000004,0.30000000000000004,512,558,12156,1,,,1.0,Correct,unseen_answers,test,4.13.192
133932,4.13,mem0_no_feedback,mem0,no_feedback,order_1,score,succeeded,0.1,1.0,0.1,0.1,561,603,11771,1,,,0.0,The question is not about the network topology but about the routing strategy!,unseen_answers,test,4.13.202
134002,4.13,mem0_no_feedback,mem0,no_feedback,order_2,score,succeeded,0.15,1.0,0.15,0.15,545,597,8998,1,,,0.0,The question is not about the network topology but about the routing strategy!,unseen_answers,test,4.13.202
134072,4.13,mem0_no_feedback,mem0,no_feedback,order_3,score,succeeded,0.0,1.0,0.0,0.0,554,589,11719,1,,,0.0,The question is not about the network topology but about the routing strategy!,unseen_answers,test,4.13.202
133934,4.13,mem0_no_feedback,mem0,no_feedback,order_1,score,succeeded,0.7,1.0,-0.050000000000000044,0.050000000000000044,541,574,10236,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.210
134004,4.13,mem0_no_feedback,mem0,no_feedback,order_2,score,succeeded,0.7,1.0,-0.050000000000000044,0.050000000000000044,525,573,10630,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.210
134074,4.13,mem0_no_feedback,mem0,no_feedback,order_3,score,succeeded,0.7,1.0,-0.050000000000000044,0.050000000000000044,534,573,9287,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.210
133939,4.13,mem0_no_feedback,mem0,no_feedback,order_1,score,succeeded,0.2,1.0,-0.3,0.3,500,548,9546,1,,,0.5,But this is not a problem specific for the routing strategy,unseen_answers,test,4.13.233
134009,4.13,mem0_no_feedback,mem0,no_feedback,order_2,score,succeeded,0.0,1.0,-0.5,0.5,481,527,10579,1,,,0.5,But this is not a problem specific for the routing strategy,unseen_answers,test,4.13.233
134079,4.13,mem0_no_feedback,mem0,no_feedback,order_3,score,succeeded,0.1,1.0,-0.4,0.4,493,543,11630,1,,,0.5,But this is not a problem specific for the routing strategy,unseen_answers,test,4.13.233
133933,4.13,mem0_no_feedback,mem0,no_feedback,order_1,score,succeeded,0.75,1.0,0.0,0.0,548,592,10172,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.361
134003,4.13,mem0_no_feedback,mem0,no_feedback,order_2,score,succeeded,0.8,1.0,0.050000000000000044,0.050000000000000044,532,569,13952,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.361
134073,4.13,mem0_no_feedback,mem0,no_feedback,order_3,score,succeeded,0.75,1.0,0.0,0.0,541,577,12234,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.361
133940,4.13,mem0_no_feedback,mem0,no_feedback,order_1,score,succeeded,0.6,1.0,-0.4,0.4,518,553,10781,1,,,1.0,Correct,unseen_answers,test,4.13.82
134010,4.13,mem0_no_feedback,mem0,no_feedback,order_2,score,succeeded,0.7,1.0,-0.30000000000000004,0.30000000000000004,502,537,11032,1,,,1.0,Correct,unseen_answers,test,4.13.82
134080,4.13,mem0_no_feedback,mem0,no_feedback,order_3,score,succeeded,0.65,1.0,-0.35,0.35,511,543,11774,1,,,1.0,Correct,unseen_answers,test,4.13.82
133886,4.13,no_memory,none,none,order_1,score,succeeded,1.0,1.0,0.0,0.0,247,278,12381,1,,,1.0,Correct,unseen_answers,test,4.13.128
133956,4.13,no_memory,none,none,order_2,score,succeeded,1.0,1.0,0.0,0.0,247,278,14111,1,,,1.0,Correct,unseen_answers,test,4.13.128
134026,4.13,no_memory,none,none,order_3,score,succeeded,1.0,1.0,0.0,0.0,247,278,16242,1,,,1.0,Correct,unseen_answers,test,4.13.128
133887,4.13,no_memory,none,none,order_1,score,succeeded,0.6,1.0,-0.15000000000000002,0.15000000000000002,267,315,15396,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.140
133957,4.13,no_memory,none,none,order_2,score,succeeded,0.5,1.0,-0.25,0.25,267,312,15240,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.140
134027,4.13,no_memory,none,none,order_3,score,succeeded,0.5,1.0,-0.25,0.25,267,302,13149,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.140
133881,4.13,no_memory,none,none,order_1,score,succeeded,0.3,1.0,-0.7,0.7,221,260,10796,1,,,1.0,Correct,unseen_answers,test,4.13.160
133951,4.13,no_memory,none,none,order_2,score,succeeded,0.3,1.0,-0.7,0.7,221,266,12968,1,,,1.0,Correct,unseen_answers,test,4.13.160
134021,4.13,no_memory,none,none,order_3,score,succeeded,0.25,1.0,-0.75,0.75,221,264,13834,1,,,1.0,Correct,unseen_answers,test,4.13.160
133885,4.13,no_memory,none,none,order_1,score,succeeded,0.25,1.0,-0.75,0.75,265,309,13466,1,,,1.0,Correct,unseen_answers,test,4.13.186
133955,4.13,no_memory,none,none,order_2,score,succeeded,0.25,1.0,-0.75,0.75,265,302,12752,1,,,1.0,Correct,unseen_answers,test,4.13.186
134025,4.13,no_memory,none,none,order_3,score,succeeded,0.2,1.0,-0.8,0.8,265,310,13316,1,,,1.0,Correct,unseen_answers,test,4.13.186
133888,4.13,no_memory,none,none,order_1,score,succeeded,0.5,1.0,-0.5,0.5,242,278,15828,1,,,1.0,Correct,unseen_answers,test,4.13.192
133958,4.13,no_memory,none,none,order_2,score,succeeded,0.5,1.0,-0.5,0.5,242,283,16020,1,,,1.0,Correct,unseen_answers,test,4.13.192
134028,4.13,no_memory,none,none,order_3,score,succeeded,0.5,1.0,-0.5,0.5,242,281,12768,1,,,1.0,Correct,unseen_answers,test,4.13.192
133882,4.13,no_memory,none,none,order_1,score,succeeded,0.1,1.0,0.1,0.1,284,319,10639,1,,,0.0,The question is not about the network topology but about the routing strategy!,unseen_answers,test,4.13.202
133952,4.13,no_memory,none,none,order_2,score,succeeded,0.0,1.0,0.0,0.0,284,319,13259,1,,,0.0,The question is not about the network topology but about the routing strategy!,unseen_answers,test,4.13.202
134022,4.13,no_memory,none,none,order_3,score,succeeded,0.1,1.0,0.1,0.1,284,325,11407,1,,,0.0,The question is not about the network topology but about the routing strategy!,unseen_answers,test,4.13.202
133884,4.13,no_memory,none,none,order_1,score,succeeded,0.6,1.0,-0.15000000000000002,0.15000000000000002,264,298,16127,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.210
133954,4.13,no_memory,none,none,order_2,score,succeeded,0.6,1.0,-0.15000000000000002,0.15000000000000002,264,304,14224,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.210
134024,4.13,no_memory,none,none,order_3,score,succeeded,0.7,1.0,-0.050000000000000044,0.050000000000000044,264,299,11758,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.210
133889,4.13,no_memory,none,none,order_1,score,succeeded,0.2,1.0,-0.3,0.3,223,267,12243,1,,,0.5,But this is not a problem specific for the routing strategy,unseen_answers,test,4.13.233
133959,4.13,no_memory,none,none,order_2,score,succeeded,0.2,1.0,-0.3,0.3,223,263,14622,1,,,0.5,But this is not a problem specific for the routing strategy,unseen_answers,test,4.13.233
134029,4.13,no_memory,none,none,order_3,score,succeeded,0.2,1.0,-0.3,0.3,223,270,13231,1,,,0.5,But this is not a problem specific for the routing strategy,unseen_answers,test,4.13.233
133883,4.13,no_memory,none,none,order_1,score,succeeded,0.8,1.0,0.050000000000000044,0.050000000000000044,271,303,10604,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.361
133953,4.13,no_memory,none,none,order_2,score,succeeded,0.7,1.0,-0.050000000000000044,0.050000000000000044,271,302,14131,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.361
134023,4.13,no_memory,none,none,order_3,score,succeeded,0.8,1.0,0.050000000000000044,0.050000000000000044,271,306,16854,1,,,0.75,But why is oscillating a problem?,unseen_answers,test,4.13.361
133890,4.13,no_memory,none,none,order_1,score,succeeded,0.5,1.0,-0.5,0.5,241,272,11738,1,,,1.0,Correct,unseen_answers,test,4.13.82
133960,4.13,no_memory,none,none,order_2,score,succeeded,0.5,1.0,-0.5,0.5,241,270,13530,1,,,1.0,Correct,unseen_answers,test,4.13.82
134030,4.13,no_memory,none,none,order_3,score,succeeded,0.5,1.0,-0.5,0.5,241,284,11286,1,,,1.0,Correct,unseen_answers,test,4.13.82
133896,4.13,retrieval_full,retrieval,full,order_1,score,succeeded,1.0,1.0,0.0,0.0,4846,4877,12169,1,,,1.0,Correct,unseen_answers,test,4.13.128
133966,4.13,retrieval_full,retrieval,full,order_2,score,succeeded,1.0,1.0,0.0,0.0,4846,4876,12820,1,,,1.0,Correct,unseen_answers,test,4.13.128
