id	prompt	essay	content
11	Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining.	"I remember it all clear as glass ice. It was two summers ago when my mom, two brothers, and I went to @PERSON1 point. This can be one of the best ways to impose ""taxing the rich"" policy without making controversies in this country. I was really excited about going on the new ride at @CAPS1 point- the @CAPS5. Reading, listening, learning, about this stuff isn't going to make your child a horrible person. In conclusion, I think I will develop around KAIST because of the above reasons. These reasons are related to my experience in KAIST. This I didn’t mind since we went on mostly big rollar coasters with a few acceptions for rides like @PERSON2 @CAPS2, @CAPS3 @CAPS4, and @ORGANIZATION1. My mind was kept plenty distracted from the maverick with how mad, fun I was having at the time. Also, it lets you communicate with friends and family through the internet, for example, using facebook or @CAPS1. This is very comfortable. After waiting for so long we finally got to the ride it. The @CAPS5 was amazingly epic. Finally, all of my patience had payed off, and I had a great day."	1
12	"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends."	"To solve these, each room have to have a toilet. People spend too much time on their computers. I am not a smoker, and I think, it is essential that smoking should be completely banned in public. I feel they will eventually let curiousity get the better of them. We were starting to get hungrey so we went into town and order some breakfast, we got our drinks and were about to get our food when we got a call that they were going soon. These are the reasons why people shouldn't spend so much of their time on a computer. It was @DATE1 @TIME1, the day my family was getting a dog and I was so excited. A recent poll shwos that @NUM2 in every @NUM3 @CAPS5 is overweight. Sure it might hurt, depress, or even aggrivate some people but it also fills you with knowledge on the past. Back in @DATE5 only @PERCENT2 of the @CAPS6 population was obese. Theses ratings warn people of the content included, whether graphic or not. Back then electronics weren't popular so for fun, kids played games with eachother outside on a regular basis. Now it's rare for a kids to be motivated to put down the mouse, and go play kickball with neighborhood) friends. She had to wait several hours in line until she could see the ticket both. Computers keep people from exercising so their affect on people is negative. With computers being so popular, people are less involved with nature. It is quite impossible to produce such a piece that will fit everybody's satisfaction. The freedom of press is the means by which they share their ideas and concepts with the world. People would rather sit at a computer for @NUM4 hours doing wonders of our world. But I didn’t let my dad know, because I wanted him to think I was patient. Computers take away from people enjoying nature's joy. ‘Patience’  @CAPS1 were on are way the the big city, to go to a very specil baseball game. @NUM5 year old @CAPS7 would rather talk to his girlfriend on the computer than spen time with this @CAPS8. I had to have patience waiting till my foster mom found a home to move to. as it is, adding a computer into the mix just makes it worse. Peple have accounts on social networking sites like facebook and sometimes they are very drame filled and cause problems. Friendships are easily ruined and usually the cause of this is some kind of misunderstanding. I kept on winning prizes at the games they had. All I have to do is wait. The library is a place of learning, discovery, and knowledge, available to anyone willing to take the time to engross themselves in the rows and rows of information. Computers are a main factor in the vast increase in obesity rates. I really enjoyed my day at @CAPS3 @CAPS4, and I’m glad I waited for the best ride. Every day as I ran down the drive way I hoped that day would be the day the letter would come. Most importantly, computers ruin many relationships with friends and family. They can always suggest to go out for a movie or beer while studying. Then, we as people will wonder what will be left of us."	1
13	Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining.	"One time I had to be really patience. Dear newspapper I don't think that computers benefit our society. In addition to live life healthy, Various activities are more available at day time compare with night time ; for example, climing, going swimming pool, and going piano academy. It would have taken two or three days but we stoped a lot. All of a sudden the world and its people have become dependent on information that computers provide. It made me kinda mad because we didn’t need to go to all of them but to my dad we did. On our way it felt like two weeks. My uncle @PERSON1 called us ever five minuts on the way. Teens and adults use the @CAPS6 to talk in friends they haven't seen for up to @NUM2 years. If your family member lives far away and you don't have enough money for the phone bill, computers help you to not loose touch. My uncle loves co-co weats. Then how can people achieve it? During recent years, people have paid more and more attention to their physical conditions. Many people use Computers, but not everyone agrees that this benefits society."	1
14	"Censorship in the Libraries ""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any of us."" --Katherine Paterson, AuthorWrite a persuasive essay to a newspaper reflecting your vies on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading."	"Once upon a time there was a princess named @PERSON1 was a nice princess but one day she was hungry and did not feel like getting  her food so she told her made to but she was taking a shower so @PERSON1 had to wait and be patient she sat in her room for what had seemed like years to her she read a book watched @CAPS1.V and she went to see if her made was done she was not done and @PERSON1 was unpatient and got really mad and pounded on the door and said you better hang up or or and then she saw someone out of the corner of her eye and she realized that she had left the light on in the bathroom and nobody was in there her made was now right behind  her in the hell she was emmbarassed and humiliated so she ran to her room and cried and that is the story of the time the princess was unpatient! From consequences such as addiction and reduced cardiovascular endurance to possibly death, smoking and the even more hazardous unfiltered second-hand smoke, clearly is not something to be taken lightly. Some kids who have not been properly educated over a controvercial topic (such as drugs or alcohol) @MONTH1 make a bad decision based off something he or she reads about in a book or on a webpage. This problem continues to grow and hackers feed off of weak sites. Similar to rating a movie or a video game, this system would rate the book so that readers know what age level the book is apropriate for, and state what factors the book incorporates to rate it the way they did. Last night, I had a test on the @CAPS3 @CAPS4 and I went online, typed in ""The @CAPS3 @CAPS4"", and found @MONTH1 helpful cites on it. We, as @CAPS3, have @CAPS2. I fought hard to resume my former demeanor, but my will did not stand a chance against @ORGANIZATION1's sense of humor. With that said, I do not think that taking books labeled as 'inappropriate' off the shelves is a reasonable solution to the issue. I know, that from personal experience, when someone tries to take away my @CAPS2 that I'm entitled to, I get extremely angry. Could you imagine all of those unhealthy people not worriying about anything except their computer? I'm proud of my university. I know that if I were an author, and my book were taken off the shelf, because someone found it 'inapppropriate' I would be very upset. This has let people, who haven't seen each other for a long time, reconnect and become good friends again. However, like I mentioned in the second paragraph, I do think that making a rating system for books is a good idea that allows the authors to express themselves fully, and also allows readers to know what controvercial material is in the book without them being affected by the information they would have read without the warning. I would strongly advise you consider my proposal, because it has the potential to prevent future confrontations between authors and the public."	1
15	"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends."	"Dear @CAPS1 @CAPS2, I would like to notify your business that computers benefit society. We asked the lady if we could get him but she said they are going in sport and we could buy him there. Computers are one of the biggest advances we have in technology. If I could change one thing about my university, it is almost impossible but I would change location of my university. I like to go on the computer, mostly because I'm able to speak with my friends. One would say that people should take risks first. My mom said “ok” and thats when I got sad then she said to me “but because you waited so long and nicely I will take you to get a smoothy.” “I love smoothys” I scream. In the car my brother and I were talking about how excited we were. The experience of working during study will make them better equipped with not only academy from the school but also practice from working experience. So, now because of our computers I could catch up on the work that I missed that day of school. It need a lot of time someone is not good at program such as me. Also, it requires a lot of money. So during the work time, people correct their money and use it to go to
travel. I picked her up, rocked her, played games, put her in the swing , and even tried to feed her but nothing worked. Secondly, computers are a big part of many peoples lives because many jobs involve computers; as well as school. Computers are a very useful piece of technology because people use computers for paying bills, jobs and more. I am not saying to go let your @NUM3 year old look at pictures of people having sex by any means, but when @CAPS20 get to a certain age, their parents need to step up and talk to them about uncomfortable subjects such as puberty, sex, and babies. The programs are constructed, then corrected and revised, then finally sent out all over the world. If people weren't allowed to use computers then many people would lose their jobs and many families would be in huge debt. Children everywhere are being influenced by books, magazines, movies, and even songs. For example, I take spanish and I earn culture points for my class by answering a question on the computer. But to completely remove the cometition of the debate would be sabotage. Computers are a big part of the working society today. Finally, computers allow people to learn about different places around the world. The computer holds a lot of valuble information. To sum up, a habit of waking up early has benefits on having time for oneself, avoiding wasting time due to stress they had, and getting extra benefits of sleep. I dont feel that real nasty and bad music should be played at @CAPS4 Libraries. For instance, my uncle was on the computer one day and he was looking at places in @LOCATION1 and after a long hard thinking process him and his family moved there and they still live there to this day. Computers inspire people to learn and see different places and @MONTH1 lead them to something important one day. In conclusion, I feel very strongly about how positive computers are to society today. I do realize that it gets out of control with the music, movies, magazines, and books but we know when to settle down and grow up."	1
16	Smoking should be completely banned at all the restaurants in the country.	"It would be pretty much the same thing as selling liquor, or cigarettes to a minor. If this was to take place our civilization would experience a lessening intellect and a expanding ignorance regarding many fields of knowledge. I'm not a smoker, and most of my friends refused to breathe second hand smoking in public places, such as school, department store and restaurant. Second hand smoking causes air pollution and makes nonsmokers feel uncomfortable. The government should pay attention to this issue. If you want to talk to your friends, why not call them or more modernly, text them? Reading is what keeps us strong, entertained, and those who know the past are not likely to repeat it, unless books are gone. Restaurants are public places that everyone can come in and go out. Developing computer technology is one of the best choice to make new occupations without destroying environments. So the rest of the time I just followed my mom and never showed any ginks of being impatient. But that did not help much becaus I could not feel my face and I saw a clock inside the school and I found I had only been here @NUM3 minutes! First, cigarattes are really harmful for smokers and their surrounders. Thus, is the best way to protect nonsmokers away from second hand smoking."	1
17	Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining.	"Patience, something you have to have when you want to be friends with someone. This story is about a young girl and boy who want to be friends, but one of them just don’t have patience. I was walking into the room where the speech competition was. I sat next to all my friends and the all thought I would get first place. When I went up with one of my friends he said that he had just alittle bit to much cologne on because he was really nervous and he didn’t know what he was doing. @CAPS2 one actually knew that he and I were friends. This could be good for resting, but I think that it will be wonderful to spend the night time in the tent, cooking hot stew, and making marshmellow shmores with the family. My friend said that I would do good, and he was right after me. I soon started to speak about lady @PERSON1 @CAPS1 loved my speech! The book had been written during the cult of domesticity and was filled with ideas of the submissiveness of women and their devotion to the home. However, some groups might argue isn't the activities made by friends influence the young people most, which means friends gives the most important influence to the young adults. I said, “@CAPS2 way why would I be friends with him?” then @CAPS1 laughed. We both looked at eachother, in a bad way. After a few days we won’t talking to each other since @CAPS1 was so suspicious. Because infected by the air. For example, according to statistics of the Korean university students suicide, quite many of student in KAIST suicide due to stress. He was eager to tell @CAPS1 that me and him were friends but we couldn’t tell anyone because to them were both different, but the truth is that we’re both exactly the same since we both like soccer, basket ball, music and talking like @NUM1. Therefore, I want to change food delivery system if I could. Success from careful planning never disappears but rather keeps growing. Each subject like mathematics or economics requires different kinds of ideas or abilities. The only difference is that with smoking the affects are not visible immediately because it has long term affects. In addition if a student forgets, losses, or is missing homework, they can log on the school website and print the paper out. The most important function of the computer is education. In conclusion, @CAPS3 having patience is a good thing but sometimes people can’t have patience when they want to become friends."	1
18	Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining.	"However, actually many success comes from careful planning. Many people feel disturbed when they are eating they also disturbed by the smoke flavored. After a while I saw something cool, space @CAPS2. @CAPS2 first reason is that computers help people educate others. My mom was shocked so we left. I was so disapointed. We came back the next day and the wait was @NUM2 hours. To censor the books held in a library is to chip away at human progress. After @NUM3 minutes I was bored. It is enjoyable to @CAPS7, talk, or email others. Some dangerous material in cigarette for example cyanide, benzene, cadmium, , ammonia,, naphthalene, and many others.. Last example, is that you can improve you typeing skills and become a better typer. I waited all by myself for @NUM4 minutes when I got on the coaster! It was fun, and I got a fastoas for @NUM5 other rides! Likewise, if a smoker wants to eat at a no-smoking-allowed restaurant, they'd also have to compromise by, well, not smoking."	1
19	"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends."	"These essential skills will be used by students for the rest of their life and help peers to be more successful in academics as well. They get less exercise. Don't get to enjoy the nature around them, and they don't get to interact with their family and friends! Since they were patient, time flew by and the next thing they knew they were buying tickets. People need to spend less time on computers, and spending more time exercising! He easily waited throw the whole two day and then the day came. You don't tend to want to get up or do anything else when you're on your computer, right? Well that needs to change. Often, peolple get cranky while they are using a computer or if they need to get off of one. She definetly isn't listening. Nobody want's to see someone throw a fit because they have to get off the computer do they? “@CAPS10, about six hours sweetie.” @CAPS11 replied. Jimmy @CAPS2 syas, ""@CAPS3 @NUM1 kids are on their computers way to much! First, humanities lecture in KAIST are too small in number. They're getting fat! Consumers can read the review first and then decide whether to check it out or not. But as I have explained before, it is not always true. Maybe so, but that media shouldn't be hidden for the 'just-in-case' a child hears it. It can be hard at times, but we all get through it. We all need to enjoy nature more. Music is also a controversial material to censor. It's because kids are too lazy to get off their lazy and go outisde. The best thing about nature is that if you are  about need to be alone or even just need to get , nature is always there for you anytime you need it. You can laways go otside with your friends and family too!. The waitress came back and asked us what we wanted to eat. @CAPS5 she went to the truck & took a nap. Computer obsessed teenagers and adults need to be with their family and friends. that has been taken out of your local library. The ride stared. In my opinion, friends are the most important on young adults in three reasons. First of all, a young adult can share his or her emotion to friends. Nobody wants to be distant from their friends and family. But @CAPS2 @CAPS1 got to be patient. I became more patient with people, welcoming any criticism."	1
20	It is important for college students to have a part-time job.	"I've read books about slavery, and war and it just wants me to make the world a better place. This phenomenon, which enables companies to employ people from different countries, demands employers to be not only smart but also street smart in order to survive in this era. Street smart people know how to deal with daily problems. In order to achieve this trait, it is important for university students to have a part-time job, They will learn how to manage their time by having a part-time job. They will also get an opportunity to work as a team player. One day my mom, my sister, and I was going to the hair salon to get our hair done. Every years my dad takes me to the track in @DATE1 and times me for @NUM2 and @NUM3 yard dash, the @NUM4 meter, and the mile. This occurs in various parts such as the design, the research, and even the work at the factory now and almost people in that workplaces tend to recognize the need of computers. They will also be more responsible in completing the tasks given on time. A good part-time job enables students to work as a team. Companies are looking for team players. It showed that they did not think highly of women and how there purpose in life were to raise the children and that was it. We walk around looking for the ride and more importantly he line. “@CAPS2 @CAPS3” I think. So, it is necessary for unibersity students to have a part-time job in order to be street smart."	1
